Date,Open,High,Low,Close,Adj Close,Volume,Name,Price Change,Price Change (%),Daily Range,Volatility,SMA_10,MA_Volume_10,RSI
2001-05-16,48.400002,48.400002,44.5,48.0,38.796329,3428.0,LPP,-0.40000200000000063,-0.8264503790722997,3.9000020000000006,8.125004166666667,,,
2001-05-17,46.5,47.900002,46.0,47.900002,38.715508,2098.0,LPP,1.4000020000000006,3.010756989247313,1.9000020000000006,3.966601086989517,,,
2001-05-18,46.099998,47.0,46.099998,47.0,37.988079,12.0,LPP,0.9000020000000006,1.9522820803593108,0.9000020000000006,1.9148978723404269,,,
2001-05-24,48.0,48.0,48.0,48.0,38.796329,5.0,LPP,0.0,0.0,0.0,0.0,,,
2001-05-25,48.400002,48.400002,48.400002,48.400002,39.119633,239.0,LPP,0.0,0.0,0.0,0.0,,,
2001-05-29,48.299999,48.299999,48.299999,48.299999,39.038807,200.0,LPP,0.0,0.0,0.0,0.0,,,
2001-05-30,48.099998,48.099998,48.099998,48.099998,38.877163,200.0,LPP,0.0,0.0,0.0,0.0,,,
2001-05-31,48.099998,48.099998,48.099998,48.099998,38.877163,100.0,LPP,0.0,0.0,0.0,0.0,,,
2001-06-01,47.599998,47.599998,47.599998,47.599998,38.47303,200.0,LPP,0.0,0.0,0.0,0.0,,,
2001-06-04,47.5,47.5,47.0,47.0,37.988079,1700.0,LPP,-0.5,-1.0526315789473684,0.5,1.0638297872340425,47.8399997,818.2,
2001-06-05,48.099998,48.099998,47.0,47.0,37.988079,340.0,LPP,-1.0999979999999994,-2.2868982239874507,1.0999979999999994,2.3404212765957433,47.7399997,509.4,
2001-06-06,48.0,48.099998,47.0,48.099998,38.877163,247.0,LPP,0.09999799999999937,0.20832916666666534,1.0999979999999994,2.2868982239874507,47.759999300000004,324.3,
2001-06-07,48.099998,48.099998,48.099998,48.099998,38.877163,400.0,LPP,0.0,0.0,0.0,0.0,47.8699991,363.1,
2001-06-08,48.299999,48.299999,48.299999,48.299999,39.038807,100.0,LPP,0.0,0.0,0.0,0.0,47.899998999999994,372.6,
2001-06-11,48.299999,48.299999,48.299999,48.299999,39.038807,50.0,LPP,0.0,0.0,0.0,0.0,47.8899987,353.7,52.94116493656964
2001-06-12,46.5,48.400002,46.5,48.400002,39.119633,250.0,LPP,1.9000020000000006,4.086025806451614,1.9000020000000006,3.92562380472629,47.899998999999994,358.7,54.90195309497554
